id,label
0,0.31550485
1,0.07812136
2,0.054160528
3,0.038941123
4,0.031023728
5,0.18746826
6,0.10912571
7,0.06282495
8,0.042150866
9,0.0113542825
10,0.09657088
11,0.27826878
12,0.049688213
13,0.0856641
14,0.10593828
15,0.04836862
16,0.04433039
17,0.110381156
18,0.12402184
19,0.009384355
20,0.016268546
21,0.04305003
22,0.2336008
23,0.039105315
24,0.0026578635
25,0.04998953
26,0.040011838
27,0.037157312
28,0.15032808
29,0.07802592
30,0.08670835
31,0.2339839
32,0.06771138
33,0.08783618
34,0.04967277
35,0.04746057
36,0.08147854
37,0.21926671
38,0.039293002
39,0.005027505
40,0.08658197
41,0.03316353
42,0.18428658
43,0.07470499
44,0.18063891
45,0.081518315
46,0.035391867
47,0.15166149
48,0.02483011
49,0.059720516
50,0.040816568
51,0.014265363
52,0.037316486
53,0.039808497
54,0.03551011
55,0.03802775
56,0.023741703
57,0.033480454
58,0.028665105
59,0.03904007
60,0.023399897
61,0.032869276
62,0.041605923
63,0.14483993
64,0.025454294
65,0.059259087
66,0.240191
67,0.020260923
68,0.069060415
69,0.01949732
70,0.07176813
71,0.09204129
72,0.027547969
73,0.078291155
74,0.011620648
75,0.15652093
76,0.0151574835
77,0.10509005
78,0.1606643
79,0.038964365
80,0.2702818
81,0.09406671
82,0.10053463
83,0.01754042
84,0.032664414
85,0.06019751
86,0.052996676
87,0.01880284
88,0.1314931
89,0.053013355
90,0.085490234
91,0.08731056
92,0.014964817
93,0.16719882
94,0.003547823
95,0.055712484
96,0.051764075
97,0.047595687
98,0.013466166
99,0.0141515145
100,0.0957836
101,0.1506502
102,0.07277502
103,0.080275685
104,0.071521826
105,0.014363753
106,0.017974589
107,0.05885993
108,0.29824245
109,0.21877669
110,0.035305265
111,0.09994428
112,0.055276316
113,0.18484499
114,0.034711618
115,0.024904015
116,0.05981651
117,0.014674145
118,0.053954564
119,0.11191603
120,0.112104595
121,0.02366839
122,0.037932377
123,0.11771887
124,0.031523585
125,0.03376862
126,0.048204217
127,0.15595882
128,0.053162966
129,0.045577772
130,0.06999174
131,0.07579685
132,0.037162486
133,0.28817853
134,0.013886327
135,0.038352657
136,0.07435337
